site,device_id,equipment_type,level,status,candidate,test_CVRMSE_pct,test_skill,selection_skill,driver,driver_excitation,on_rows,flags
site_a,CH_01,chiller,full_physical,ok,EIR,5.986305488930062,0.1209095516241889,0.1102579106482794,cooling_load_W,0.619128747119714,29086,"liveness_channel_absent,cop_above_envelope:reconstructed_COP=20.52"
site_a,CH_02,chiller,full_physical,blocked_insufficient_identification,,,,,cooling_load_W,0.5874792226511355,1459,"liveness_channel_absent,cop_above_envelope:reconstructed_COP=13.03"
site_a,CH_03,chiller,full_physical,ok,EEIR,4.48685041388592,0.2206465187860823,0.1046132042849941,cooling_load_W,0.8098546191682326,50889,"liveness_channel_absent,cop_above_envelope:reconstructed_COP=10.09"
site_a,CH_04,chiller,full_physical,blocked_insufficient_identification,,,,,cooling_load_W,0.7525364286145361,4682,liveness_channel_absent
site_a,CH_05,chiller,blocked,blocked,,,,,cooling_load_W,,40,"liveness_channel_absent,cop_above_envelope:reconstructed_COP=11"
site_a,CH_06,chiller,full_physical,identification_only,,,,,cooling_load_W,0.3647290764546907,5411,"liveness_channel_absent,cop_above_envelope:reconstructed_COP=21.57"
site_a,CH_07,chiller,full_physical,ok,EIR,5.339348014726271,0.2133272716479821,0.1541639999723139,cooling_load_W,0.4983253371986902,37464,"liveness_channel_absent,cop_above_envelope:reconstructed_COP=11.99"
site_a,CT_01,cooling_tower,full_physical,ok,YorkCalc,24.271629305070327,0.0975180647058919,0.1875776635008066,fan1_Hz,0.5101566352217503,36794,
site_a,CT_02,cooling_tower,full_physical,blocked_insufficient_identification,,,,,fan1_Hz,0.6275144000150077,2397,
site_a,CT_03,cooling_tower,full_physical,ok,Merkel,16.61017421263598,0.1104386333147091,0.096345750206035,fan1_Hz,0.6566964089435052,48818,
site_a,CT_04,cooling_tower,full_physical,blocked_insufficient_identification,,,,,fan1_Hz,0.6591121924191576,5288,
site_a,CT_05,cooling_tower,full_physical,ok,Merkel,10.636403458151976,0.085117466033032,0.1362958355907512,fan1_Hz,0.547478151483259,50704,
